# Step	Acceptance_Rate	Sequence_Identity_%	CAI	Free_Energy	CpG	Stem	UTR_Hybridisation	Initial_Hybridisation
27500	0.5862	46.7626	6.107709e-01	-1.640704e+00	0.000000e+00	0.000000e+00	1.052115e-01	4.702090e-01
27600	0.6383	46.9424	6.130394e-01	-1.647858e+00	0.000000e+00	0.000000e+00	1.298160e-01	4.448865e-01
27700	0.5082	46.2230	6.126858e-01	-1.610007e+00	0.000000e+00	0.000000e+00	1.676473e-01	4.125478e-01
27800	0.5510	45.6835	6.103472e-01	-1.681567e+00	0.000000e+00	0.000000e+00	1.676528e-01	4.125723e-01
27900	0.6000	45.6835	6.066959e-01	-1.594388e+00	0.000000e+00	0.000000e+00	1.009508e-01	4.278310e-01
28000	0.6316	44.2446	5.997401e-01	-1.617986e+00	0.000000e+00	0.000000e+00	1.008556e-01	4.257330e-01
28100	0.4194	45.1439	5.948866e-01	-1.548186e+00	0.000000e+00	0.000000e+00	1.008435e-01	4.257281e-01
28200	0.5091	44.2446	5.960662e-01	-1.574344e+00	0.000000e+00	0.000000e+00	1.008524e-01	4.252904e-01
28300	0.6290	43.5252	5.998125e-01	-1.593012e+00	0.000000e+00	0.000000e+00	1.008010e-01	4.281374e-01
28400	0.4800	43.5252	6.060426e-01	-1.572904e+00	0.000000e+00	0.000000e+00	1.067077e-01	4.459840e-01
28500	0.4706	43.8849	6.065385e-01	-1.564673e+00	0.000000e+00	0.000000e+00	1.061810e-01	4.441137e-01
28600	0.3051	44.0647	5.999990e-01	-1.553164e+00	0.000000e+00	0.000000e+00	1.003174e-01	4.269577e-01
28700	0.4921	43.8849	6.081459e-01	-1.544708e+00	0.000000e+00	0.000000e+00	9.887931e-02	4.276183e-01
28800	0.5972	43.5252	6.161478e-01	-1.580736e+00	0.000000e+00	0.000000e+00	1.018215e-01	4.680101e-01
28900	0.5484	43.3453	6.148477e-01	-1.597689e+00	0.000000e+00	0.000000e+00	1.017780e-01	4.679062e-01
29000	0.6939	42.2662	6.174842e-01	-1.623155e+00	0.000000e+00	0.000000e+00	1.004433e-01	4.476905e-01
29100	0.5962	42.0863	6.157422e-01	-1.601168e+00	0.000000e+00	0.000000e+00	1.015700e-01	4.498454e-01
29200	0.4516	40.8273	6.246580e-01	-1.597697e+00	0.000000e+00	0.000000e+00	1.415250e-01	4.463812e-01
29300	0.4839	40.6475	6.230829e-01	-1.602666e+00	0.000000e+00	0.000000e+00	2.027849e-01	4.412849e-01
29400	0.5862	39.9281	6.258040e-01	-1.609944e+00	0.000000e+00	0.000000e+00	1.644822e-01	4.792611e-01
29500	0.4237	40.6475	6.278658e-01	-1.582620e+00	0.000000e+00	0.000000e+00	1.644717e-01	4.792091e-01
29600	0.5167	41.9065	6.279465e-01	-1.573370e+00	0.000000e+00	0.000000e+00	1.643327e-01	4.791331e-01
29700	0.5738	42.2662	6.251647e-01	-1.600011e+00	0.000000e+00	0.000000e+00	1.077588e-01	4.725952e-01
29800	0.5208	42.8058	6.224608e-01	-1.567043e+00	0.000000e+00	0.000000e+00	1.080137e-01	4.705038e-01
29900	0.5088	42.9856	6.208505e-01	-1.577615e+00	0.000000e+00	0.000000e+00	1.022549e-01	4.714796e-01
30000	0.5556	44.4245	6.115260e-01	-1.568997e+00	0.000000e+00	0.000000e+00	9.730011e-02	4.650504e-01
30100	0.4524	43.1655	6.098096e-01	-1.556728e+00	0.000000e+00	0.000000e+00	9.680011e-02	4.888204e-01
30200	0.6034	43.1655	6.052572e-01	-1.563362e+00	0.000000e+00	0.000000e+00	1.065488e-01	5.024037e-01
30300	0.6393	42.8058	6.049337e-01	-1.606338e+00	0.000000e+00	0.000000e+00	1.280187e-01	5.047863e-01
30400	0.5106	43.3453	6.058106e-01	-1.598746e+00	0.000000e+00	0.000000e+00	1.214798e-01	5.393520e-01
30500	0.4237	41.7266	6.067145e-01	-1.603293e+00	0.000000e+00	0.000000e+00	1.295684e-01	5.343875e-01
30600	0.5000	41.3669	6.068599e-01	-1.587241e+00	0.000000e+00	0.000000e+00	1.603901e-01	5.466054e-01
30700	0.6000	41.7266	6.167436e-01	-1.613607e+00	0.000000e+00	0.000000e+00	1.608264e-01	5.565936e-01
30800	0.4821	42.6259	6.054875e-01	-1.574088e+00	0.000000e+00	0.000000e+00	1.309429e-01	5.803688e-01
30900	0.4561	42.8058	6.105680e-01	-1.581352e+00	0.000000e+00	0.000000e+00	1.462780e-01	5.260396e-01
31000	0.6071	42.8058	6.147365e-01	-1.574052e+00	0.000000e+00	0.000000e+00	9.698941e-02	6.158053e-01
31100	0.5200	43.1655	6.145574e-01	-1.560417e+00	0.000000e+00	0.000000e+00	9.752238e-02	6.319542e-01
31200	0.6042	42.9856	6.139656e-01	-1.576385e+00	0.000000e+00	0.000000e+00	1.234154e-01	5.742702e-01
31300	0.6863	44.0647	6.144363e-01	-1.555594e+00	0.000000e+00	0.000000e+00	1.178990e-01	5.015538e-01
31400	0.6667	44.0647	6.164166e-01	-1.579275e+00	0.000000e+00	0.000000e+00	1.163898e-01	4.864733e-01
31500	0.6182	43.5252	6.197776e-01	-1.601467e+00	0.000000e+00	0.000000e+00	1.024939e-01	4.924912e-01
31600	0.4918	42.4460	6.200420e-01	-1.621865e+00	0.000000e+00	0.000000e+00	1.029898e-01	4.913881e-01
31700	0.5849	41.0072	6.096467e-01	-1.637699e+00	0.000000e+00	0.000000e+00	1.017388e-01	4.970361e-01
31800	0.6400	40.6475	6.149239e-01	-1.632260e+00	0.000000e+00	0.000000e+00	1.028458e-01	4.927990e-01
31900	0.5918	40.4676	6.094357e-01	-1.597751e+00	0.000000e+00	0.000000e+00	1.136911e-01	5.070457e-01
32000	0.8209	40.2878	6.117523e-01	-1.663892e+00	0.000000e+00	0.000000e+00	9.637337e-02	4.619046e-01
32100	0.4667	39.2086	6.155282e-01	-1.630140e+00	0.000000e+00	0.000000e+00	9.742333e-02	4.738185e-01
32200	0.6094	40.6475	6.100998e-01	-1.699279e+00	0.000000e+00	0.000000e+00	9.925604e-02	4.915317e-01
32300	0.5283	40.1079	6.100306e-01	-1.649155e+00	0.000000e+00	0.000000e+00	1.372457e-01	4.705414e-01
32400	0.4727	40.4676	5.983978e-01	-1.610476e+00	0.000000e+00	0.000000e+00	1.572280e-01	4.678299e-01
32500	0.6774	41.3669	6.027430e-01	-1.595711e+00	0.000000e+00	0.000000e+00	1.244033e-01	4.975321e-01
32600	0.6271	42.2662	6.152045e-01	-1.599421e+00	0.000000e+00	0.000000e+00	1.219389e-01	4.939682e-01
32700	0.6102	43.1655	6.141544e-01	-1.580314e+00	0.000000e+00	0.000000e+00	2.204839e-01	5.497116e-01
32800	0.6269	43.1655	6.146362e-01	-1.571024e+00	0.000000e+00	0.000000e+00	2.352274e-01	5.409784e-01
32900	0.5185	43.7050	6.054132e-01	-1.529970e+00	0.000000e+00	0.000000e+00	1.142159e-01	5.231278e-01
33000	0.7292	42.6259	6.118408e-01	-1.564992e+00	0.000000e+00	0.000000e+00	1.203697e-01	4.972822e-01
33100	0.4853	42.2662	6.029894e-01	-1.559557e+00	0.000000e+00	0.000000e+00	1.160650e-01	5.184690e-01
33200	0.5172	41.1871	5.916007e-01	-1.568927e+00	0.000000e+00	0.000000e+00	1.069140e-01	4.837572e-01
33300	0.4821	39.9281	5.913170e-01	-1.625048e+00	0.000000e+00	0.000000e+00	1.035482e-01	4.794713e-01
33400	0.5000	39.2086	5.938348e-01	-1.619116e+00	0.000000e+00	0.000000e+00	1.191731e-01	4.808521e-01
33500	0.6462	39.5683	6.014397e-01	-1.566717e+00	0.000000e+00	0.000000e+00	1.840774e-01	4.861034e-01
33600	0.5517	40.2878	6.035098e-01	-1.580715e+00	0.000000e+00	0.000000e+00	9.718582e-02	4.544277e-01
33700	0.5000	40.4676	6.061192e-01	-1.554582e+00	0.000000e+00	0.000000e+00	1.796371e-01	3.942724e-01
33800	0.5283	41.9065	6.140062e-01	-1.587253e+00	0.000000e+00	0.000000e+00	1.824152e-01	3.960206e-01
33900	0.5254	41.0072	6.166764e-01	-1.621690e+00	0.000000e+00	0.000000e+00	1.821881e-01	3.955574e-01
34000	0.6792	42.2662	6.171290e-01	-1.625308e+00	0.000000e+00	0.000000e+00	1.793102e-01	3.957776e-01
34100	0.5614	41.0072	6.212572e-01	-1.666453e+00	0.000000e+00	0.000000e+00	1.888116e-01	4.088151e-01
34200	0.6774	41.0072	6.103415e-01	-1.688337e+00	0.000000e+00	0.000000e+00	9.680717e-02	4.131032e-01
34300	0.5556	41.0072	6.077712e-01	-1.656339e+00	0.000000e+00	0.000000e+00	9.840845e-02	4.035695e-01
34400	0.5667	39.7482	6.095810e-01	-1.671043e+00	0.000000e+00	0.000000e+00	9.715797e-02	4.020542e-01
34500	0.5968	38.8489	6.001434e-01	-1.688352e+00	0.000000e+00	0.000000e+00	9.791444e-02	4.580112e-01
34600	0.6889	40.1079	5.985474e-01	-1.641421e+00	0.000000e+00	0.000000e+00	9.793833e-02	4.583584e-01
34700	0.5682	39.0288	6.044568e-01	-1.646168e+00	0.000000e+00	0.000000e+00	9.775315e-02	4.517785e-01
34800	0.4655	39.5683	6.041873e-01	-1.604731e+00	0.000000e+00	0.000000e+00	1.018817e-01	4.313908e-01
34900	0.4400	38.3094	5.975333e-01	-1.621829e+00	0.000000e+00	0.000000e+00	1.020177e-01	4.303132e-01
35000	0.4833	39.7482	6.017106e-01	-1.601682e+00	0.000000e+00	0.000000e+00	1.023390e-01	4.315524e-01
35100	0.5410	39.5683	6.062601e-01	-1.630507e+00	0.000000e+00	0.000000e+00	1.198480e-01	4.429973e-01
35200	0.4516	38.8489	6.050254e-01	-1.631140e+00	0.000000e+00	0.000000e+00	9.743739e-02	4.657775e-01
35300	0.6038	38.8489	6.078468e-01	-1.651312e+00	0.000000e+00	0.000000e+00	9.774780e-02	4.770762e-01
35400	0.5000	39.2086	6.045028e-01	-1.656060e+00	0.000000e+00	0.000000e+00	9.777616e-02	4.553566e-01
35500	0.6032	38.4892	6.065071e-01	-1.644185e+00	0.000000e+00	0.000000e+00	9.808497e-02	4.540591e-01
35600	0.6727	39.9281	6.070470e-01	-1.662332e+00	0.000000e+00	0.000000e+00	9.801010e-02	4.369271e-01
35700	0.3929	40.8273	6.170340e-01	-1.632938e+00	0.000000e+00	0.000000e+00	1.121616e-01	4.440417e-01
35800	0.4808	40.4676	6.107768e-01	-1.609116e+00	0.000000e+00	0.000000e+00	1.131828e-01	4.611425e-01
35900	0.5085	40.6475	6.054529e-01	-1.641499e+00	0.000000e+00	0.000000e+00	9.786063e-02	5.287350e-01
36000	0.5893	40.1079	6.035649e-01	-1.668465e+00	0.000000e+00	0.000000e+00	9.767351e-02	5.227525e-01
36100	0.6207	39.3885	6.043870e-01	-1.600483e+00	0.000000e+00	0.000000e+00	9.713922e-02	4.585404e-01
36200	0.3400	40.6475	6.039474e-01	-1.603267e+00	0.000000e+00	0.000000e+00	9.710955e-02	4.579024e-01
36300	0.5185	40.2878	6.089584e-01	-1.648397e+00	0.000000e+00	0.000000e+00	9.710653e-02	4.532809e-01
36400	0.6552	41.9065	6.163406e-01	-1.634546e+00	0.000000e+00	0.000000e+00	1.035158e-01	4.891116e-01
36500	0.6909	42.0863	6.150872e-01	-1.605784e+00	0.000000e+00	0.000000e+00	1.033954e-01	4.701038e-01
36600	0.5345	42.4460	6.079158e-01	-1.590679e+00	0.000000e+00	0.000000e+00	9.743824e-02	4.855654e-01
36700	0.6833	44.0647	6.094243e-01	-1.650623e+00	0.000000e+00	0.000000e+00	9.745607e-02	4.860554e-01
36800	0.5536	44.2446	6.159814e-01	-1.644035e+00	0.000000e+00	0.000000e+00	9.745607e-02	4.860674e-01
36900	0.5439	44.6043	6.113643e-01	-1.592190e+00	0.000000e+00	0.000000e+00	9.702335e-02	4.841650e-01
37000	0.3585	43.7050	6.150192e-01	-1.656417e+00	0.000000e+00	0.000000e+00	9.737343e-02	4.817207e-01
37100	0.5323	41.1871	6.227460e-01	-1.600499e+00	0.000000e+00	0.000000e+00	9.733779e-02	4.293431e-01
37200	0.5781	40.8273	6.276944e-01	-1.620959e+00	0.000000e+00	0.000000e+00	1.036048e-01	4.378105e-01
37300	0.5818	42.4460	6.284111e-01	-1.652060e+00	0.000000e+00	0.000000e+00	1.065715e-01	4.397831e-01
37400	0.5893	43.8849	6.287836e-01	-1.657063e+00	0.000000e+00	0.000000e+00	1.061938e-01	4.947439e-01
37500	0.7292	43.5252	6.228622e-01	-1.608840e+00	0.000000e+00	0.000000e+00	1.390933e-01	5.203049e-01
37600	0.7500	43.1655	6.084819e-01	-1.579852e+00	0.000000e+00	0.000000e+00	1.523409e-01	4.818172e-01
37700	0.5400	40.8273	6.135691e-01	-1.603439e+00	0.000000e+00	0.000000e+00	1.507442e-01	4.839700e-01
37800	0.6500	40.2878	6.038568e-01	-1.604876e+00	0.000000e+00	0.000000e+00	1.253676e-01	4.707075e-01
37900	0.5833	41.1871	6.107605e-01	-1.572790e+00	0.000000e+00	0.000000e+00	1.390234e-01	4.663669e-01
38000	0.6034	40.4676	6.022722e-01	-1.567828e+00	0.000000e+00	0.000000e+00	1.105542e-01	4.874894e-01
38100	0.6102	40.6475	6.133607e-01	-1.616363e+00	0.000000e+00	0.000000e+00	1.108002e-01	4.873365e-01
38200	0.5873	39.9281	6.179898e-01	-1.608176e+00	0.000000e+00	0.000000e+00	1.102679e-01	4.833960e-01
38300	0.5789	39.3885	6.042308e-01	-1.615845e+00	0.000000e+00	0.000000e+00	1.098684e-01	4.889267e-01
38400	0.5625	39.5683	6.052845e-01	-1.614785e+00	0.000000e+00	0.000000e+00	1.698241e-01	4.683275e-01
38500	0.6230	37.7698	6.037312e-01	-1.643789e+00	0.000000e+00	0.000000e+00	1.197581e-01	5.066444e-01
38600	0.4603	39.3885	6.103664e-01	-1.613463e+00	0.000000e+00	0.000000e+00	1.095497e-01	5.340385e-01
38700	0.2982	39.7482	6.137368e-01	-1.619719e+00	0.000000e+00	0.000000e+00	1.090847e-01	5.330320e-01
38800	0.2000	39.7482	6.093885e-01	-1.629952e+00	0.000000e+00	0.000000e+00	1.018468e-01	5.558583e-01
38900	0.1639	40.1079	6.110020e-01	-1.622860e+00	0.000000e+00	0.000000e+00	9.903565e-02	5.570222e-01
39000	0.1429	40.4676	6.118596e-01	-1.644511e+00	0.000000e+00	0.000000e+00	1.528152e-01	5.630747e-01
39100	0.2712	40.8273	6.017511e-01	-1.639909e+00	0.000000e+00	0.000000e+00	2.332580e-01	5.655875e-01
39200	0.3651	41.1871	6.017375e-01	-1.635689e+00	0.000000e+00	0.000000e+00	1.899085e-01	5.349420e-01
39300	0.3387	41.1871	5.900447e-01	-1.605568e+00	0.000000e+00	0.000000e+00	1.712509e-01	5.276947e-01
39400	0.4265	40.1079	5.952428e-01	-1.621314e+00	0.000000e+00	0.000000e+00	1.943532e-01	5.230285e-01
39500	0.2745	39.7482	6.022036e-01	-1.620501e+00	0.000000e+00	0.000000e+00	1.745166e-01	5.210484e-01
39600	0.2167	39.0288	5.979727e-01	-1.615564e+00	0.000000e+00	0.000000e+00	9.868727e-02	5.387310e-01
39700	0.5806	40.2878	5.933776e-01	-1.586753e+00	0.000000e+00	0.000000e+00	9.858084e-02	5.399133e-01
39800	0.5625	40.4676	5.919565e-01	-1.601214e+00	0.000000e+00	0.000000e+00	1.470662e-01	5.486981e-01
39900	0.5769	40.4676	5.909939e-01	-1.616641e+00	0.000000e+00	0.000000e+00	1.553221e-01	5.444024e-01
40000	0.6324	40.4676	5.956638e-01	-1.604666e+00	0.000000e+00	0.000000e+00	1.086862e-01	5.377545e-01
40100	0.5714	40.8273	6.007831e-01	-1.636063e+00	0.000000e+00	0.000000e+00	9.741801e-02	5.438197e-01
40200	0.6429	41.5468	6.071534e-01	-1.635456e+00	0.000000e+00	0.000000e+00	9.753705e-02	5.226158e-01
40300	0.5273	40.6475	6.074711e-01	-1.613591e+00	0.000000e+00	0.000000e+00	1.133493e-01	4.880341e-01
40400	0.5600	39.9281	5.985022e-01	-1.667102e+00	0.000000e+00	0.000000e+00	1.189727e-01	4.771203e-01
40500	0.5370	40.4676	6.038150e-01	-1.619136e+00	0.000000e+00	0.000000e+00	1.049153e-01	6.393741e-01
40600	0.4655	39.9281	6.089031e-01	-1.620479e+00	0.000000e+00	0.000000e+00	1.079188e-01	5.684436e-01
40700	0.5942	40.4676	6.116908e-01	-1.640541e+00	0.000000e+00	0.000000e+00	5.694404e-02	4.885287e-01
40800	0.6167	40.1079	6.195750e-01	-1.669753e+00	0.000000e+00	0.000000e+00	5.566612e-02	4.903793e-01
40900	0.4561	39.3885	6.107602e-01	-1.672726e+00	0.000000e+00	0.000000e+00	5.673772e-02	4.820816e-01
41000	0.5143	39.0288	6.067669e-01	-1.661167e+00	0.000000e+00	0.000000e+00	5.118174e-02	4.818524e-01
41100	0.5345	39.0288	6.089223e-01	-1.652424e+00	0.000000e+00	0.000000e+00	5.753383e-02	4.822223e-01
41200	0.5500	40.1079	6.160866e-01	-1.614034e+00	0.000000e+00	0.000000e+00	5.728755e-02	4.770739e-01
41300	0.6140	39.9281	6.221977e-01	-1.604476e+00	0.000000e+00	0.000000e+00	5.138539e-02	4.812409e-01
41400	0.5167	39.9281	6.309986e-01	-1.665598e+00	0.000000e+00	0.000000e+00	7.459645e-02	4.808408e-01
41500	0.5098	40.6475	6.291235e-01	-1.684437e+00	0.000000e+00	0.000000e+00	6.478901e-02	4.839374e-01
41600	0.5094	40.1079	6.256135e-01	-1.662451e+00	0.000000e+00	0.000000e+00	5.111668e-02	4.585991e-01
41700	0.5088	41.1871	6.220153e-01	-1.628126e+00	0.000000e+00	0.000000e+00	5.098701e-02	4.551983e-01
41800	0.6111	41.0072	6.207538e-01	-1.627535e+00	0.000000e+00	0.000000e+00	5.137893e-02	4.485523e-01
41900	0.5789	40.4676	6.229695e-01	-1.626452e+00	0.000000e+00	0.000000e+00	5.137702e-02	4.316460e-01
42000	0.5938	39.5683	6.228332e-01	-1.621831e+00	0.000000e+00	0.000000e+00	6.827658e-02	4.393575e-01
42100	0.5094	39.7482	6.274196e-01	-1.625866e+00	0.000000e+00	0.000000e+00	5.595326e-02	4.556067e-01
42200	0.3922	39.7482	6.275954e-01	-1.602495e+00	0.000000e+00	0.000000e+00	9.547057e-02	4.607378e-01
42300	0.6491	41.9065	6.184317e-01	-1.599116e+00	0.000000e+00	0.000000e+00	8.930476e-02	4.881462e-01
42400	0.5849	42.4460	6.131817e-01	-1.629558e+00	0.000000e+00	0.000000e+00	5.563583e-02	4.664054e-01
42500	0.4643	41.9065	6.037693e-01	-1.587096e+00	0.000000e+00	0.000000e+00	5.122796e-02	4.719928e-01
42600	0.5490	41.9065	6.020605e-01	-1.593246e+00	0.000000e+00	0.000000e+00	5.120601e-02	4.365492e-01
42700	0.4615	40.8273	6.051539e-01	-1.621025e+00	0.000000e+00	0.000000e+00	5.119697e-02	4.404719e-01
42800	0.5692	41.0072	6.020041e-01	-1.600379e+00	0.000000e+00	0.000000e+00	5.139862e-02	4.432311e-01
42900	0.4576	41.9065	6.054393e-01	-1.561962e+00	0.000000e+00	0.000000e+00	5.139227e-02	4.440169e-01
43000	0.5161	41.3669	6.076225e-01	-1.610614e+00	0.000000e+00	0.000000e+00	5.141117e-02	4.395894e-01
43100	0.5091	40.8273	6.107598e-01	-1.614153e+00	0.000000e+00	0.000000e+00	5.118794e-02	4.567040e-01
43200	0.5410	41.7266	6.118772e-01	-1.631520e+00	0.000000e+00	0.000000e+00	5.091691e-02	4.561475e-01
43300	0.4600	41.1871	6.186427e-01	-1.649344e+00	0.000000e+00	0.000000e+00	5.066427e-02	4.580168e-01
43400	0.4259	42.2662	6.204212e-01	-1.630368e+00	0.000000e+00	0.000000e+00	5.047335e-02	4.589837e-01
43500	0.5517	41.3669	6.131471e-01	-1.602099e+00	0.000000e+00	0.000000e+00	5.090412e-02	4.576581e-01
43600	0.7800	40.2878	6.121278e-01	-1.617392e+00	0.000000e+00	0.000000e+00	5.105021e-02	4.583492e-01
43700	0.6604	40.4676	5.993489e-01	-1.621180e+00	0.000000e+00	0.000000e+00	5.133741e-02	4.868162e-01
43800	0.5636	40.6475	5.915730e-01	-1.627342e+00	0.000000e+00	0.000000e+00	5.135248e-02	4.909751e-01
43900	0.5385	40.8273	5.911211e-01	-1.646100e+00	0.000000e+00	0.000000e+00	5.136148e-02	4.929113e-01
44000	0.5965	39.3885	5.935145e-01	-1.655087e+00	0.000000e+00	0.000000e+00	5.105025e-02	5.212972e-01
44100	0.6721	38.6691	5.991299e-01	-1.655367e+00	0.000000e+00	0.000000e+00	5.132611e-02	4.966436e-01
44200	0.6596	39.3885	6.007902e-01	-1.631480e+00	0.000000e+00	0.000000e+00	5.130750e-02	5.226200e-01
44300	0.6610	41.1871	6.051031e-01	-1.624570e+00	0.000000e+00	0.000000e+00	5.125837e-02	5.224789e-01
44400	0.4918	41.7266	6.084086e-01	-1.552313e+00	0.000000e+00	0.000000e+00	6.095389e-02	5.140145e-01
44500	0.6304	41.3669	6.130739e-01	-1.609641e+00	0.000000e+00	0.000000e+00	5.947020e-02	5.237693e-01
44600	0.5208	41.5468	6.221936e-01	-1.632913e+00	0.000000e+00	0.000000e+00	5.973237e-02	5.233404e-01
44700	0.6200	41.5468	6.240279e-01	-1.630945e+00	0.000000e+00	0.000000e+00	6.424254e-02	5.349053e-01
44800	0.5645	42.8058	6.259457e-01	-1.573607e+00	0.000000e+00	0.000000e+00	6.394871e-02	5.339115e-01
44900	0.4364	42.8058	6.345771e-01	-1.600267e+00	0.000000e+00	0.000000e+00	1.327151e-01	5.323419e-01
45000	0.5636	41.0072	6.336300e-01	-1.605470e+00	0.000000e+00	0.000000e+00	6.111048e-02	5.358374e-01
45100	0.5283	41.3669	6.186749e-01	-1.604706e+00	0.000000e+00	0.000000e+00	6.076972e-02	5.341773e-01
45200	0.5517	42.2662	6.249578e-01	-1.615221e+00	0.000000e+00	0.000000e+00	6.300991e-02	5.343121e-01
45300	0.5246	42.0863	6.298027e-01	-1.612952e+00	0.000000e+00	0.000000e+00	6.617334e-02	6.456283e-01
45400	0.7143	40.1079	6.208381e-01	-1.615886e+00	0.000000e+00	0.000000e+00	5.116326e-02	5.011942e-01
45500	0.6304	39.0288	6.055143e-01	-1.580026e+00	0.000000e+00	0.000000e+00	5.118742e-02	4.989565e-01
45600	0.6122	37.4101	6.058800e-01	-1.649203e+00	0.000000e+00	0.000000e+00	5.121793e-02	4.877753e-01
45700	0.7333	37.7698	6.083310e-01	-1.703121e+00	0.000000e+00	0.000000e+00	7.078954e-02	4.976774e-01
45800	0.5088	37.5899	6.068328e-01	-1.676697e+00	0.000000e+00	0.000000e+00	5.913017e-02	4.763160e-01
45900	0.6094	37.2302	6.027624e-01	-1.630428e+00	0.000000e+00	0.000000e+00	5.907921e-02	4.768724e-01
46000	0.5000	38.1295	6.001969e-01	-1.652218e+00	0.000000e+00	0.000000e+00	5.868099e-02	4.810559e-01
46100	0.5345	37.9496	6.028244e-01	-1.627925e+00	0.000000e+00	0.000000e+00	5.172801e-02	4.698057e-01
46200	0.5932	37.0504	5.942266e-01	-1.645959e+00	0.000000e+00	0.000000e+00	1.204686e-01	4.773123e-01
46300	0.5833	37.9496	5.977634e-01	-1.629178e+00	0.000000e+00	0.000000e+00	1.553924e-01	4.712653e-01
46400	0.4314	36.6906	5.935954e-01	-1.595385e+00	0.000000e+00	0.000000e+00	1.204352e-01	4.697858e-01
46500	0.5778	37.0504	5.915691e-01	-1.594027e+00	0.000000e+00	0.000000e+00	1.206555e-01	4.726820e-01
46600	0.5926	37.5899	6.015486e-01	-1.579242e+00	0.000000e+00	0.000000e+00	1.194932e-01	4.890771e-01
46700	0.5645	38.3094	5.943485e-01	-1.540790e+00	0.000000e+00	0.000000e+00	1.303955e-01	4.949660e-01
46800	0.6562	38.6691	6.019086e-01	-1.577933e+00	0.000000e+00	0.000000e+00	1.357685e-01	4.870960e-01
46900	0.6731	40.1079	6.035628e-01	-1.583671e+00	0.000000e+00	0.000000e+00	1.579897e-01	5.010079e-01
47000	0.5741	39.9281	6.108064e-01	-1.585806e+00	0.000000e+00	0.000000e+00	1.392811e-01	5.171207e-01
47100	0.4615	40.2878	6.188573e-01	-1.588567e+00	0.000000e+00	0.000000e+00	2.141381e-01	4.484338e-01
47200	0.6170	41.0072	6.221044e-01	-1.627900e+00	0.000000e+00	0.000000e+00	2.116241e-01	4.489394e-01
47300	0.3860	40.6475	6.193162e-01	-1.605805e+00	0.000000e+00	0.000000e+00	2.194723e-01	4.675589e-01
47400	0.4667	41.3669	6.269261e-01	-1.608951e+00	0.000000e+00	0.000000e+00	2.138470e-01	4.605527e-01
47500	0.3400	41.5468	6.306069e-01	-1.597750e+00	0.000000e+00	0.000000e+00	2.141034e-01	4.655780e-01
47600	0.3929	42.0863	6.321211e-01	-1.598882e+00	0.000000e+00	0.000000e+00	2.136135e-01	4.621484e-01
47700	0.4531	41.7266	6.287453e-01	-1.554472e+00	0.000000e+00	0.000000e+00	1.995364e-01	4.563656e-01
47800	0.2500	42.6259	6.276738e-01	-1.543296e+00	0.000000e+00	0.000000e+00	1.812812e-01	4.941723e-01
47900	0.3500	42.9856	6.264050e-01	-1.542079e+00	0.000000e+00	0.000000e+00	1.287559e-01	4.494379e-01
48000	0.4906	43.3453	6.223895e-01	-1.548547e+00	0.000000e+00	0.000000e+00	1.270519e-01	4.533583e-01
48100	0.4231	43.7050	6.290302e-01	-1.547530e+00	0.000000e+00	0.000000e+00	1.269699e-01	4.531047e-01
48200	0.4655	43.5252	6.247122e-01	-1.521950e+00	0.000000e+00	0.000000e+00	1.278964e-01	4.517092e-01
48300	0.5741	43.3453	6.175104e-01	-1.530287e+00	0.000000e+00	0.000000e+00	1.333734e-01	4.501031e-01
48400	0.5968	41.9065	6.182857e-01	-1.562331e+00	0.000000e+00	0.000000e+00	1.287757e-01	4.601403e-01
48500	0.4118	42.0863	6.204878e-01	-1.539801e+00	0.000000e+00	0.000000e+00	1.284151e-01	4.606051e-01
48600	0.3333	41.7266	6.209014e-01	-1.560536e+00	0.000000e+00	0.000000e+00	1.297179e-01	4.625738e-01
48700	0.4902	42.4460	6.193960e-01	-1.544399e+00	0.000000e+00	0.000000e+00	1.249570e-01	4.611861e-01
48800	0.2727	42.6259	6.192224e-01	-1.522536e+00	0.000000e+00	0.000000e+00	1.283103e-01	4.588034e-01
48900	0.5593	43.1655	6.106524e-01	-1.545772e+00	0.000000e+00	0.000000e+00	1.285912e-01	4.589054e-01
49000	0.4478	42.2662	6.200963e-01	-1.583018e+00	0.000000e+00	0.000000e+00	1.300505e-01	4.631184e-01
49100	0.3774	42.8058	6.229617e-01	-1.587678e+00	0.000000e+00	0.000000e+00	1.277253e-01	4.584345e-01
49200	0.4500	43.3453	6.333505e-01	-1.612564e+00	0.000000e+00	0.000000e+00	1.369452e-01	4.623073e-01
49300	0.5000	42.6259	6.348947e-01	-1.632535e+00	0.000000e+00	0.000000e+00	1.286834e-01	4.751131e-01
49400	0.6897	41.0072	6.261677e-01	-1.623303e+00	0.000000e+00	0.000000e+00	1.499624e-01	4.595493e-01
49500	0.3091	41.1871	6.255516e-01	-1.584283e+00	0.000000e+00	0.000000e+00	1.496135e-01	4.571233e-01
49600	0.4035	40.2878	6.329409e-01	-1.604041e+00	0.000000e+00	0.000000e+00	1.503686e-01	4.572683e-01
49700	0.5882	41.7266	6.212117e-01	-1.637624e+00	0.000000e+00	0.000000e+00	1.498964e-01	4.584756e-01
49800	0.5439	41.1871	6.260418e-01	-1.658539e+00	0.000000e+00	0.000000e+00	1.542282e-01	4.549091e-01
